,time,name,今日涨停,今日跌停,昨日涨停,昨日跌停,昨日涨停表现
0,2024-01-02 15:15:00,全A,62,7,71,5,2.13
1,2024-01-03 15:15:00,全A,46,11,62,7,1.16
2,2024-01-04 15:15:00,全A,45,11,46,11,0.8
3,2024-01-05 15:15:00,全A,29,20,45,11,-0.27
4,2024-01-08 15:15:00,全A,35,25,29,20,2.1
5,2024-01-09 15:15:00,全A,48,11,35,25,0.22
6,2024-01-10 15:15:00,全A,43,19,48,11,0.49
7,2024-01-11 15:15:00,全A,57,8,43,19,1.69
8,2024-01-12 15:15:00,全A,28,9,57,8,0.34
9,2024-01-15 15:15:00,全A,45,8,28,9,2.37
10,2024-01-16 15:15:00,全A,35,9,45,8,1.97
11,2024-01-17 15:15:00,全A,39,21,35,9,0.69
12,2024-01-18 15:15:00,全A,41,15,39,21,1.69
13,2024-01-19 15:15:00,全A,46,28,41,15,0.26
14,2024-01-22 15:15:00,全A,24,117,46,28,-1.75
15,2024-01-23 15:15:00,全A,52,31,24,117,4.27
16,2024-01-24 15:15:00,全A,82,4,52,31,3.62
17,2024-01-25 15:15:00,全A,107,5,82,4,5.49
18,2024-01-26 15:15:00,全A,66,13,107,5,2.76
19,2024-01-29 15:15:00,全A,34,85,66,13,-2.83
20,2024-01-30 15:15:00,全A,24,94,34,85,-3.61
21,2024-01-31 15:15:00,全A,29,195,24,94,-1.99
22,2024-02-01 15:15:00,全A,31,107,29,195,-1.96
23,2024-02-02 15:15:00,全A,27,117,31,107,-0.65
24,2024-02-05 15:15:00,全A,17,1447,27,117,-4.83
25,2024-02-06 15:15:00,全A,152,161,17,1447,3.19
26,2024-02-07 15:15:00,全A,107,318,152,161,6.53
27,2024-02-08 15:15:00,全A,509,8,107,318,3.8
28,2024-02-19 15:15:00,全A,270,3,509,8,4.95
29,2024-02-20 15:15:00,全A,155,0,270,3,4.21
30,2024-02-21 15:15:00,全A,155,0,155,0,2.88
31,2024-02-22 15:15:00,全A,96,1,155,0,3.67
32,2024-02-23 15:15:00,全A,146,1,96,1,7.0
33,2024-02-26 15:15:00,全A,120,1,146,1,3.21
34,2024-02-27 15:15:00,全A,112,2,120,1,3.77
35,2024-02-28 15:15:00,全A,33,379,112,2,-4.4
36,2024-02-29 15:15:00,全A,111,6,33,379,5.04
37,2024-03-01 15:15:00,全A,80,12,111,6,4.06
38,2024-03-04 15:15:00,全A,87,19,80,12,1.0
39,2024-03-05 15:15:00,全A,58,21,87,19,1.03
40,2024-03-06 15:15:00,全A,103,4,58,21,2.76
41,2024-03-07 15:15:00,全A,70,11,103,4,0.69
42,2024-03-08 15:15:00,全A,77,5,70,11,-0.04
43,2024-03-11 15:15:00,全A,99,0,77,5,4.05
44,2024-03-12 15:15:00,全A,78,3,99,0,2.44
45,2024-03-13 15:15:00,全A,62,4,78,3,1.67
46,2024-03-14 15:15:00,全A,51,5,62,4,0.3
47,2024-03-15 15:15:00,全A,84,1,51,5,4.26
48,2024-03-18 15:15:00,全A,91,5,84,1,3.17
49,2024-03-19 15:15:00,全A,67,10,91,5,0.95
50,2024-03-20 15:15:00,全A,87,7,67,10,4.57
51,2024-03-21 15:15:00,全A,79,10,87,7,2.32
52,2024-03-22 15:15:00,全A,66,15,79,10,0.7
53,2024-03-25 15:15:00,全A,46,41,66,15,-0.88
54,2024-03-26 15:15:00,全A,63,22,46,41,2.12
55,2024-03-27 15:15:00,全A,45,75,63,22,-0.67
56,2024-03-28 15:15:00,全A,79,10,45,75,2.69
57,2024-03-29 15:15:00,全A,74,12,79,10,2.23
58,2024-04-01 15:15:00,全A,91,19,74,12,3.38
59,2024-04-02 15:15:00,全A,64,11,91,19,2.97
60,2024-04-03 15:15:00,全A,56,20,64,11,0.43
61,2024-04-08 15:15:00,全A,62,54,56,20,-0.37
62,2024-04-09 15:15:00,全A,61,19,62,54,-0.8
63,2024-04-10 15:15:00,全A,31,38,61,19,-0.44
64,2024-04-11 15:15:00,全A,52,24,31,38,0.32
65,2024-04-12 15:15:00,全A,67,24,52,24,1.53
66,2024-04-15 15:15:00,全A,26,332,67,24,-3.96
67,2024-04-16 15:15:00,全A,20,788,26,332,-0.74
68,2024-04-17 15:15:00,全A,240,34,20,788,7.59
69,2024-04-18 15:15:00,全A,69,40,240,34,1.75
70,2024-04-19 15:15:00,全A,62,54,69,40,0.09
71,2024-04-22 15:15:00,全A,62,65,62,54,-1.12
72,2024-04-23 15:15:00,全A,66,45,62,65,1.6
73,2024-04-24 15:15:00,全A,71,26,66,45,2.26
74,2024-04-25 15:15:00,全A,65,23,71,26,2.75
75,2024-04-26 15:15:00,全A,78,22,0,0,0.0
76,2024-04-29 15:15:00,全A,136,28,78,22,4.26
77,2024-04-30 15:15:00,全A,75,42,136,28,1.53
78,2024-05-06 15:15:00,全A,104,68,75,42,3.72
79,2024-05-07 15:15:00,全A,65,58,104,68,2.52
80,2024-05-08 15:15:00,全A,60,51,65,58,1.34
81,2024-05-09 15:15:00,全A,63,52,60,51,2.0
82,2024-05-10 15:15:00,全A,43,74,63,52,-0.58
83,2024-05-13 15:15:00,全A,39,78,43,74,1.48
84,2024-05-14 15:15:00,全A,82,42,39,78,1.85
85,2024-05-15 15:15:00,全A,66,33,82,42,1.76
86,2024-05-16 15:15:00,全A,62,19,66,33,1.62
87,2024-05-17 15:15:00,全A,93,19,62,19,4.69
88,2024-05-20 15:15:00,全A,61,49,93,19,0.63
89,2024-05-21 15:15:00,全A,33,48,61,49,0.59
90,2024-05-22 15:15:00,全A,54,36,33,48,3.34
91,2024-05-23 15:15:00,全A,36,29,54,36,2.63
92,2024-05-24 15:15:00,全A,56,30,36,29,1.27
93,2024-05-27 15:15:00,全A,45,51,56,30,-0.83
94,2024-05-28 15:15:00,全A,34,52,45,51,1.58
95,2024-05-29 15:15:00,全A,33,63,34,52,1.1
96,2024-05-30 15:15:00,全A,43,67,33,63,1.08
97,2024-05-31 15:15:00,全A,46,38,43,67,2.15
98,2024-06-03 15:15:00,全A,24,116,46,38,1.92
99,2024-06-04 15:15:00,全A,42,76,24,116,2.21
100,2024-06-05 15:15:00,全A,26,41,42,76,1.31
101,2024-06-06 15:15:00,全A,24,159,26,41,0.56
102,2024-06-07 15:15:00,全A,81,40,24,159,0.7
103,2024-06-11 15:15:00,全A,45,38,81,40,1.58
104,2024-06-12 15:15:00,全A,91,22,45,38,4.58
105,2024-06-13 15:15:00,全A,54,21,91,22,1.09
106,2024-06-14 15:15:00,全A,50,20,54,21,1.93
107,2024-06-17 15:15:00,全A,48,21,50,20,2.59
108,2024-06-18 15:15:00,全A,66,12,48,21,2.76
109,2024-06-19 15:15:00,全A,61,14,66,12,2.82
110,2024-06-20 15:15:00,全A,29,54,61,14,-0.53
111,2024-06-21 15:15:00,全A,47,39,29,54,1.85
112,2024-06-24 15:15:00,全A,31,83,47,39,0.99
113,2024-06-25 15:15:00,全A,69,61,31,83,2.48
114,2024-06-26 15:15:00,全A,65,25,69,61,2.62
115,2024-06-27 15:15:00,全A,43,23,65,25,1.94
116,2024-06-28 15:15:00,全A,48,27,43,23,0.23
117,2024-07-01 15:15:00,全A,62,18,48,27,1.33
118,2024-07-02 15:15:00,全A,67,6,62,18,2.93
119,2024-07-03 15:15:00,全A,64,6,67,6,2.74
120,2024-07-04 15:15:00,全A,25,31,64,6,-1.02
121,2024-07-05 15:15:00,全A,58,4,25,31,2.37
122,2024-07-08 15:15:00,全A,24,39,58,4,-0.63
123,2024-07-09 15:15:00,全A,56,25,24,39,3.49
124,2024-07-10 15:15:00,全A,51,47,56,25,2.3
125,2024-07-11 15:15:00,全A,106,8,51,47,3.37
126,2024-07-12 15:15:00,全A,51,11,106,8,1.83
127,2024-07-15 15:15:00,全A,48,16,51,11,0.46
128,2024-07-16 15:15:00,全A,55,10,48,16,2.61
